Universidade	ODS	Indicador	Ano	Valor	Overall	Percentil_ranking_metrica
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE)	2021	0.44	0.432	78th
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE)	2022	0.442	0.432	78th
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE)	2023	0.43	0.432	78th
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE) Median	2019	0.323	0	
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE) Median	2020	0.327	0	
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE) Median	2021	0.337	0	
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE) Median	2022	0.342	0	
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE) Median	2023	0.344	0	
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE)	2019	0	11	84th
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE)	2020	1	11	84th
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE)	2021	2	11	84th
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE)	2022	2	11	84th
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE)	2023	6	11	84th
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE) Median	2019	1	2	
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE) Median	2020	1	2	
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE) Median	2021	1	2	
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE) Median	2022	1	2	
Universidade Federal Fluminense	ODS 5	Output in Top 10% Journals (THE) Median	2023	1	2	
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE)	2019	15	91	89th
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE)	2020	11	91	89th
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE)	2021	25	91	89th
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE)	2022	23	91	89th
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE)	2023	17	91	89th
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE) Median	2019	4	12	
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE) Median	2020	4	12	
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE) Median	2021	5	12	
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE) Median	2022	5	12	
Universidade Federal Fluminense	ODS 5	Scholarly Output (THE) Median	2023	5	12	
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE)	2019	0.96	0.83	37th
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE)	2020	1.1	0.83	37th
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE)	2021	0.73	0.83	37th
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.7	0.83	37th
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.75	0.83	37th
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	1.09	1.22	
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	1.19	1.22	
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.09	1.22	
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.09	1.22	
Universidade Federal Fluminense	ODS 6	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.14	1.22	
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE)	2019	4	43	82nd
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE)	2020	11	43	82nd
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE)	2021	8	43	82nd
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE)	2022	10	43	82nd
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE)	2023	10	43	82nd
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE) Median	2019	2	6	
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE) Median	2020	2	6	
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE) Median	2021	2	6	
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE) Median	2022	2	6	
Universidade Federal Fluminense	ODS 6	Output in Top 10% Journals (THE) Median	2023	2	6	
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE)	2019	25	202	87th
